time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1987-08-05,1.0409,1.0417,1.0394,1.041,451,50,0,0.005020274184205364,1
1987-08-06,1.0381,1.0381,1.0381,1.0381,1,50,0,-0.002785782901056577,-1
1987-08-07,1.0364,1.0389,1.0349,1.0364,801,50,0,-0.0016376071669396142,-1
1987-08-10,1.0319,1.0326,1.0308,1.032,351,50,0,-0.004245465071401,-1
1987-08-11,1.0309,1.0318,1.0306,1.031,231,50,0,-0.0009689922480621282,-1
1987-08-12,1.0323,1.0333,1.0305,1.0322,551,50,0,0.0011639185257033002,1
1987-08-13,1.0356,1.0365,1.034,1.0357,491,50,0,0.0033908157333850664,1
1987-08-14,1.0391,1.0425,1.0329,1.0395,1881,50,0,0.0036690161243604358,1
1987-08-17,1.042,1.0423,1.0417,1.0423,91,50,0,0.002693602693602637,1
1987-08-18,1.0586,1.0602,1.0548,1.0584,1061,50,0,0.015446608462055034,1
1987-08-19,1.0617,1.0622,1.0598,1.0617,481,50,0,0.0031179138321997257,1
1987-08-20,1.0689,1.0699,1.066,1.069,771,50,0,0.006875765282094548,1
1987-08-21,1.0741,1.0756000000000001,1.0705,1.0742,1011,50,0,0.004864359214219016,1
1987-08-24,1.0759,1.0765,1.0743,1.076,431,50,0,0.0016756656116179158,1
1987-08-25,1.0732,1.0745,1.0726,1.0735,351,50,0,-0.0023234200743496025,-1
1987-08-26,1.071,1.0714,1.0706,1.071,161,50,0,-0.0023288309268746366,-1
1987-08-27,1.0774,1.0784,1.0757,1.0778,501,50,0,0.006349206349206549,1
1987-08-28,1.0791,1.0805,1.077,1.0792,691,50,0,0.0012989422898495029,1
1987-08-31,1.08,1.08,1.0798,1.08,41,50,0,0.000741289844329307,1
1987-09-01,1.0789,1.0793,1.0787,1.0792,91,50,0,-0.0007407407407408195,-1
1987-09-02,1.0852,1.0853,1.0845,1.0852,161,50,0,0.005559673832468581,1
1987-09-03,1.0892,1.0906,1.0872,1.0894,661,50,0,0.003870254330998968,1
1987-09-04,1.0887,1.089,1.0884,1.0885,101,50,0,-0.0008261428309159768,-1
1987-09-08,1.0909,1.091,1.0909,1.091,11,50,0,0.0022967386311436577,1
1987-09-09,1.088,1.0884,1.0873,1.0879,211,50,0,-0.002841429880843127,-1
1987-09-10,1.0828,1.0828,1.0826,1.0828,41,50,0,-0.004687930875999724,-1
1987-09-11,1.0855,1.0866,1.0833,1.0856,651,50,0,0.002585888437384387,1
1987-09-14,1.0752,1.0762,1.073,1.0751,631,50,0,-0.009672070744288885,-1
1987-09-15,1.0776,1.0784,1.0769,1.0775,291,50,0,0.002232350479025147,1
1987-09-16,1.0778,1.0792,1.077,1.0776,421,50,0,9.280742459405467e-05,1
1987-09-17,1.0762,1.0762,1.0762,1.0762,1,50,0,-0.0012991833704527611,-1
1987-09-18,1.0833,1.0833,1.0828,1.0832,91,50,0,0.006504367217989193,1
1987-09-21,1.079,1.0817,1.0777,1.0791,791,50,0,-0.00378508124076804,-1
1987-09-22,1.0751,1.0759,1.0745,1.0751,281,50,0,-0.003706792697618422,-1
1987-09-23,1.0725,1.0735999999999999,1.0698,1.0722,731,50,0,-0.0026974234954887377,-1
1987-09-24,1.0745,1.0759,1.0738,1.0742,391,50,0,0.0018653236336505508,1
1987-09-25,1.0739,1.0739,1.0737,1.0739,41,50,0,-0.0002792776019362453,-1
1987-09-28,1.0716,1.0716,1.0716,1.0716,1,50,0,-0.0021417264177296946,-1
1987-09-29,1.0627,1.0627,1.0617,1.0627,201,50,0,-0.008305337812616775,-1
1987-09-30,1.0618,1.0633,1.0615,1.0621,331,50,0,-0.0005645996047801694,-1
1987-10-01,1.06,1.0614,1.0591,1.0599,451,50,0,-0.0020713680444401916,-1
1987-10-02,1.0617,1.0625,1.0615,1.0621,161,50,0,0.0020756675158033477,1
1987-10-05,1.0613,1.0613,1.0611,1.0612,31,50,0,-0.0008473778363620177,-1
1987-10-06,1.0662,1.0668,1.0657,1.0659,191,50,0,0.004428948360347018,1
1987-10-07,1.0709,1.0709,1.0705,1.0709,81,50,0,0.0046908715639364384,1
1987-10-08,1.0731,1.0731,1.0729,1.0731,41,50,0,0.0020543468110933993,1
1987-10-09,1.0763,1.0781,1.0725,1.0761,1101,50,0,0.0027956388034666713,1
1987-10-12,1.0781,1.0781,1.0781,1.0781,1,50,0,0.0018585633305454596,1
1987-10-13,1.0735999999999999,1.0741,1.0732,1.0735999999999999,181,50,0,-0.0041740098321122465,-1
1987-10-14,1.0798,1.0805,1.0798,1.0799,131,50,0,0.005868107302533732,1
1987-10-15,1.086,1.0868,1.0858,1.0861,191,50,0,0.005741272340031411,1
1987-10-16,1.0858,1.0867,1.0855,1.0862,201,50,0,9.207255317189578e-05,1
1987-10-19,1.1012,1.1024,1.1002,1.1009,411,50,0,0.013533419259804669,1
1987-10-20,1.0835,1.087,1.0818,1.0833,1021,50,0,-0.015986919792896792,-1
1987-10-21,1.0804,1.0846,1.0785,1.0807,1191,50,0,-0.0024000738484259987,-1
1987-10-22,1.0778,1.0783,1.0775,1.0782,121,50,0,-0.002313315443693842,-1
1987-10-23,1.0942,1.0942,1.0942,1.0942,1,50,0,0.014839547393804553,1
1987-10-26,1.1024,1.1024,1.1021,1.1024,61,50,0,0.007494059586912849,1
1987-10-27,1.1073,1.1089,1.1037,1.1072,1031,50,0,0.004354136429608024,1
